FieldName,Order,StartPosition,EndPosition,Length,CobolType,SqlType,Nullable,Transform,DefaultValue,NullIfValue,EnclosedBy,Delimiter,DataFormat,Description
CUSTOMER_ID,1,1,10,10,PIC 9(10),NUMBER(10),false,,,9999999999,,,,"Customer identification number"
CUSTOMER_NAME,2,11,50,40,PIC X(40),VARCHAR2(40),true,,,BLANKS,,,,"Customer full name"
ACCOUNT_BALANCE,3,51,60,10,PIC 9(8)V99,NUMBER(10,2),true,,,99999999.99,,,,"Current account balance"
OPEN_DATE,4,61,68,8,PIC 9(8),DATE,false,,,99999999,,,"YYYYMMDD","Account opening date"
STATUS_CODE,5,69,70,2,PIC X(2),CHAR(2),false,,,BLANKS,,,,"Account status code (AC=Active, IN=Inactive)"
CREDIT_LIMIT,6,71,80,10,PIC S9(8)V99,NUMBER(10,2),true,,,99999999.99,,,,"Credit limit amount"
LAST_TRANSACTION,7,81,88,8,PIC 9(8),DATE,true,,,99999999,,,"YYYYMMDD","Date of last transaction"
TRANSACTION_COUNT,8,89,92,4,PIC 9(4),NUMBER(4),true,,,9999,,,,"Number of transactions this month"
EMAIL_ADDRESS,9,93,142,50,PIC X(50),VARCHAR2(50),true,,,BLANKS,,,,"Customer email address"
PHONE_NUMBER,10,143,157,15,PIC X(15),CHAR(15),true,,,BLANKS,,,,"Phone number"
ADDRESS_LINE1,11,158,207,50,PIC X(50),VARCHAR2(50),true,,,BLANKS,,,,"Primary address line"
ADDRESS_LINE2,12,208,257,50,PIC X(50),VARCHAR2(50),true,,,BLANKS,,,,"Secondary address line"
CITY,13,258,287,30,PIC X(30),VARCHAR2(30),true,,,BLANKS,,,,"City name"
STATE_CODE,14,288,289,2,PIC X(2),CHAR(2),true,,,BLANKS,,,,"State or province code"
POSTAL_CODE,15,290,299,10,PIC X(10),VARCHAR2(10),true,,,BLANKS,,,,"Postal or ZIP code"
COUNTRY_CODE,16,300,301,2,PIC X(2),CHAR(2),true,,,BLANKS,,,,"Country code"
CUSTOMER_TYPE,17,302,303,2,PIC X(2),CHAR(2),false,,,BLANKS,,,,"Customer type (IN=Individual, CO=Corporate)"
RISK_SCORE,18,304,306,3,PIC 9(3),NUMBER(3),true,,,999,,,,"Risk assessment score (1-999)"
ANNUAL_INCOME,19,307,316,10,PIC 9(8)V99,NUMBER(10,2),true,,,99999999.99,,,,"Annual income amount"
EMPLOYMENT_STATUS,20,317,318,2,PIC X(2),CHAR(2),true,,,BLANKS,,,,"Employment status (EM=Employed, UN=Unemployed, RE=Retired)"
CREATED_DATE,21,319,326,8,PIC 9(8),DATE,false,,,99999999,,,"YYYYMMDD","Record creation date"
CREATED_TIME,22,327,332,6,PIC 9(6),DATE,false,,,999999,,,"HHMMSS","Record creation time"
MODIFIED_DATE,23,333,340,8,PIC 9(8),DATE,true,,,99999999,,,"YYYYMMDD","Last modification date"
MODIFIED_TIME,24,341,346,6,PIC 9(6),DATE,true,,,999999,,,"HHMMSS","Last modification time"
USER_ID,25,347,356,10,PIC X(10),VARCHAR2(10),true,,,BLANKS,,,,"User who last modified the record"
BRANCH_CODE,26,357,360,4,PIC X(4),CHAR(4),false,,,BLANKS,,,,"Branch code"
ACCOUNT_MANAGER,27,361,370,10,PIC X(10),VARCHAR2(10),true,,,BLANKS,,,,"Account manager ID"
PREFERRED_LANGUAGE,28,371,372,2,PIC X(2),CHAR(2),true,,,BLANKS,,,,"Preferred language code (EN=English, ES=Spanish, FR=French)"
MARKETING_OPT_IN,29,373,373,1,PIC X(1),CHAR(1),false,Y,,,BLANKS,,,,"Marketing opt-in flag (Y=Yes, N=No)"
LOYALTY_POINTS,30,374,380,7,PIC 9(7),NUMBER(7),true,,,9999999,,,,"Loyalty program points"
PREFERRED_CONTACT,31,381,382,2,PIC X(2),CHAR(2),true,,,BLANKS,,,,"Preferred contact method (EM=Email, PH=Phone, MA=Mail)"
NOTES,32,383,432,50,PIC X(50),VARCHAR2(50),true,,,BLANKS,,,,"Additional notes or comments" 
